Nazwa turniejowa,Miasto,Pojemność turniejowa
Lusail Stadium,Lusail City,88966
Al Bayt Stadium,Al-Chaur,68895
Khalifa International Stadium,Ad-Dauha,45857
Ahmad Bin Ali Stadium,Al-Rayyan,45032
Education City Stadium,Ad-Dauha,44667
Al Thumama Stadium,Ad-Dauha,44400
Al Janoub Stadium,Al-Wakrah,44325
Stadium 974,Ad-Dauha,44089
